Otherside: 连接一切,NFTGo,7797,近日，BAYC、MAYC、ApeCoin等Yuga Labs旗下项目都有较大程度涨幅，为Otherside营造了不错的市场开局。
一文读懂a16z 青睐的WEB3.0隐私基础设施,FastDaily,23233,目前互联网上缺乏隐私，使数十亿人暴露在大规模监控和数据泄露之下.破坏了对数字服务的信任，扼杀了创新。
科普：比特币创始人中本聪是谁？,白话区块链,30083,区块链世界里最神秘的人，非比特币发明者中本聪莫属。一直以来，关于他的江湖传说不断，就像秦始皇陵园，只知道存在过，不知道是怎样的一个存在。
ENS数字域名市场爆火背后的冷思考,链上观,29816,此次NFT社区针对ENS域名市场的快闪秀还是较成功的，至少让大家认识到了域名NFT化后的文化输出魅力，给当下火的有点找不着北的PFP市场提供了另一个NFT赛道。
web3.0有哪些机会？,区块链热搜榜,34093,每一个加密世界的原住民，应该都对Web3.0 这一概念并不陌生。
CZ对话Circle：既然无法永远保护美元 就应该拥抱未来,区块律动BlockBeats,35972,从 2020 年开始，全球如同打开了潘多拉的魔盒一般发生变化，我们在关注行业内各个赛道项目的同时，获取宏观发展的信息也相当必要。
日本游戏巨头SE变卖IP发展区块链游戏 是“精明探险”还是“盲目开拓”？,白泽研究院,34778,Square Enix 也需要将玩家们想要的游戏性和质量与区块链的所有权相平衡，做区块链游戏这个新鲜领域的“精明探险者”，而不是“盲目开拓”。
音乐NFT的路径在哪？,Hoo虎符,31051,与图像类NFT不同的是音乐NFT流动性很强，图像仅仅是一个静态的过程，但虎符交易所虎符研究院Atara表示，音乐从创作到落地需要经过很多复杂的层面，涉及到音乐人
金色午报 | 5月4日午间重要动态一览,null,null,"7:00-12:00关键词：荔枝FM、Moonbirds、星巴克、MicroStrategy
1. UGC音频社区荔枝FM将于5月20日发布首款多人共创音频数字藏品；
2. “像素猫头鹰”NFT项目Moonbirds交易额突破5亿美元；
3. Yuga Labs元宇宙Otherside虚拟地块Otherdeed NFT交易量突破20万枚ETH；
4. 星巴克：将使用区块链技术构建Web3数字“第三空间”并推出首个NFT；
5. MicroStrategy第一季度所持比特币减值为1.7亿美元；
6. MicroStrategy任命前GreenSky CFO Andrew Kang为新任首席财务官；
7. Move to Earn应用STEPN过去24小时新铸造鞋子11261双。"
“X” to Earn GameFi的崛起,区块引擎,48104,说GameFi 是最新最火热的加密趋势之一，相信没有人会反驳。
未来大概率是“多链时代” 其中一定蕴含着大量的机会,白话区块链,45685,说到这种模式，自然是以Cosmos的IBC协议为代表了。
NFT许可证：创作者在制作NFT时如何合法地保护他们的知识产权？,老雅痞,48719,​到2021年底，全球娱乐业的估值超过997亿美元，而如今全球娱乐业已经开始涉足NFT了，毕竟NFT是当今文娱产业最新的收入来源。
一文了解当前和新兴的 NFT 定价方法,DeFi之道,55355,关于 NFT 和 DeFi 肯定有很多讨论。 很直观地讲，NFT 周围缺乏金融原语，这致使 NFT 持有者在使用 NFT 可以做的事情上非常有限。
著名历史学家尼尔·弗格森撰文：加密货币和美元是合作伙伴而不是竞争对手,链捕手,53847,最近的例子比比皆是。西班牙在新大陆的征服通过增加白银和黄金的供应改变了全球经济，其中大部分用于支付哈布斯堡王朝的欧洲战争。
Web 3.0的浪潮：科学DAO不能缺席,老雅痞,51318,在许多学术领域，目前的科学记录都偏向于新颖性，而忽略了可复制性（《为什么科学面临着可信度危机》）。
元宇宙中能接吻了 CMU推出VR头显外挂 复刻唇部逼真触觉,新智元,53835,卡内基梅隆大学的研究者开发出搭载在Meta Quest 2头显上的硬件模块，能让用户在VR中体验喝水、刷牙、和亲吻的触感。
金色早报 | 迪拜虚拟资产监管局宣布进入元宇宙,金色早8点,55474,金色财经推出加密货币和区块链行业早报《金色早8点》第1611期，为您提供最新、最快的数字货币和区块链行业新闻。
金色晚报 | 5月3日晚间重要动态一览,null,null,"12:00-21:00关键词：Cathie Wood、Jane Street、灰度GBTC、CoinShares
1. 消息人士：华尔街交易公司Jane Street将借入高达2500万美元的USDC，并计划扩大到5000万美元；
2. Cathie Wood：华尔街必须认真对待加密，否则人才将大量流失；
3. 数据：灰度GBTC连续七个月下跌，四月日均交易额仅有1.06亿美元跌幅达14.7%；
4. 迪拜虚拟资产监管局宣布进入元宇宙，并在The Sandbox中建立其元宇宙总部；
5. CoinShares今年一季度初步收益同比下滑45%至1870万英镑；
6. 2021年比特币网络共支付结算13.1万亿美元，比VISA高出20%；
7. abc.eth以90ETH价格成交，创ENS历史第二高交易记录；
8. 数据：以太坊矿工收入连续第12个月超过比特币矿工。"
室内农业元宇宙的未来发展趋势,中农富通,94885,当下，通过虚拟镜片改变世界的“神话”正在不断上演，并且吸引了越来越多关注。
Scroll 研究：zkEVM 的设计挑战和解决方案,链捕手,93079,zk-Rollup 是一种非常便宜且安全的以太坊二层扩展解决方案。
